"ID_STAZ","DATARIL","VALORE"
"747","2020-07-01 00:00:00.0","19.50"
"747","2020-07-01 01:00:00.0","18.80"
"1385","2020-07-01 00:00:00.0","22.40"
"1385","2020-07-01 01:00:00.0","22.10"
"1385","2020-07-01 02:00:00.0","22.30"
"1385","2020-07-01 03:00:00.0","22.80"
"1385","2020-07-01 04:00:00.0","23.30"
"1385","2020-07-01 05:00:00.0","22.70"
"1385","2020-07-01 06:00:00.0","24.40"
"1385","2020-07-01 07:00:00.0","26.90"
"1385","2020-07-01 08:00:00.0","29.40"
"1385","2020-07-01 09:00:00.0","31.80"
"1385","2020-07-01 10:00:00.0","31.60"
"1385","2020-07-01 11:00:00.0","32.80"
"1385","2020-07-01 12:00:00.0","33.10"
"1385","2020-07-01 13:00:00.0","33.50"
"1385","2020-07-01 14:00:00.0","33.60"
"1385","2020-07-01 15:00:00.0","33.60"
"1385","2020-07-01 16:00:00.0","33.60"
"1385","2020-07-01 17:00:00.0","32.20"
"1385","2020-07-01 18:00:00.0","29.30"
"1385","2020-07-01 19:00:00.0","27.40"
"1385","2020-07-01 20:00:00.0","26.00"
"1385","2020-07-01 21:00:00.0","24.80"
"1385","2020-07-01 22:00:00.0","23.70"
"1385","2020-07-01 23:00:00.0","23.50"
"1386","2020-07-01 00:00:00.0","21.10"
"709","2020-07-02 00:00:00.0","20.40"
"709","2020-07-02 01:00:00.0","20.60"
"709","2020-07-02 02:00:00.0","21.90"
"709","2020-07-02 03:00:00.0","22.20"
"709","2020-07-02 04:00:00.0","22.30"
"709","2020-07-02 05:00:00.0","22.90"
"709","2020-07-02 06:00:00.0","24.90"
"709","2020-07-02 07:00:00.0","27.70"
"709","2020-07-02 08:00:00.0","28.80"
"709","2020-07-02 09:00:00.0","29.60"
"709","2020-07-02 10:00:00.0","30.50"
"709","2020-07-02 11:00:00.0","32.50"
"709","2020-07-02 12:00:00.0","32.60"
"709","2020-07-02 13:00:00.0","32.50"
"709","2020-07-02 14:00:00.0","31.60"
"709","2020-07-02 15:00:00.0","28.90"
"709","2020-07-02 16:00:00.0","27.90"
"709","2020-07-02 17:00:00.0","27.50"
"709","2020-07-02 18:00:00.0","26.30"
"709","2020-07-02 19:00:00.0","23.80"
"709","2020-07-02 20:00:00.0","22.40"
"709","2020-07-02 21:00:00.0","21.70"
"709","2020-07-02 22:00:00.0","21.60"
"709","2020-07-02 23:00:00.0","22.30"
"730","2020-07-02 00:00:00.0","21.60"
"730","2020-07-02 01:00:00.0","21.60"
"730","2020-07-02 02:00:00.0","22.10"
"730","2020-07-02 03:00:00.0","22.30"
"730","2020-07-02 04:00:00.0","21.50"
"730","2020-07-02 05:00:00.0","23.00"
"730","2020-07-02 06:00:00.0","28.70"
"730","2020-07-02 07:00:00.0","31.30"
"730","2020-07-02 08:00:00.0","32.30"
"730","2020-07-02 09:00:00.0","31.10"
"730","2020-07-02 10:00:00.0","32.10"
"730","2020-07-02 11:00:00.0","32.00"
"730","2020-07-02 12:00:00.0","31.70"
"730","2020-07-02 13:00:00.0","30.60"
"730","2020-07-02 14:00:00.0","28.00"
"730","2020-07-02 15:00:00.0","26.60"
"730","2020-07-02 16:00:00.0","25.90"
"730","2020-07-02 17:00:00.0","26.50"
"730","2020-07-02 18:00:00.0","24.00"
"730","2020-07-02 19:00:00.0","22.50"
"730","2020-07-02 20:00:00.0","22.40"
"730","2020-07-02 21:00:00.0","22.20"
"730","2020-07-02 22:00:00.0","22.00"
"730","2020-07-02 23:00:00.0","21.90"
"731","2020-07-02 00:00:00.0","21.30"
"731","2020-07-02 01:00:00.0","20.70"
"731","2020-07-02 02:00:00.0","21.20"
"731","2020-07-02 03:00:00.0","21.30"
"731","2020-07-02 04:00:00.0","21.00"
"731","2020-07-02 05:00:00.0","22.40"
"731","2020-07-02 06:00:00.0","26.10"
"731","2020-07-02 07:00:00.0","29.90"
"731","2020-07-02 08:00:00.0","30.60"
"731","2020-07-02 09:00:00.0","30.80"
"731","2020-07-02 10:00:00.0","32.20"
"731","2020-07-02 11:00:00.0","32.60"
"731","2020-07-02 12:00:00.0","30.20"
"731","2020-07-02 13:00:00.0","29.60"
"731","2020-07-02 14:00:00.0","28.20"
"731","2020-07-02 15:00:00.0","27.60"
"731","2020-07-02 16:00:00.0","27.70"
"731","2020-07-02 17:00:00.0","27.20"
"731","2020-07-02 18:00:00.0","24.10"
"731","2020-07-02 19:00:00.0","21.80"
"731","2020-07-02 20:00:00.0","20.50"
"731","2020-07-02 21:00:00.0","20.00"
"731","2020-07-02 22:00:00.0","20.10"
"731","2020-07-02 23:00:00.0","18.90"
"737","2020-07-02 00:00:00.0","18.20"
"737","2020-07-02 01:00:00.0","17.80"
"737","2020-07-02 02:00:00.0","18.20"
"737","2020-07-02 03:00:00.0","18.40"
"737","2020-07-02 04:00:00.0","18.50"
"737","2020-07-02 05:00:00.0","19.30"
"737","2020-07-02 06:00:00.0","21.40"
"737","2020-07-02 07:00:00.0","25.60"
"737","2020-07-02 08:00:00.0","29.80"
"737","2020-07-02 09:00:00.0","28.60"
"737","2020-07-02 10:00:00.0","28.80"
"737","2020-07-02 11:00:00.0","29.70"
"737","2020-07-02 12:00:00.0","29.20"
"737","2020-07-02 13:00:00.0","27.50"
"737","2020-07-02 14:00:00.0","26.40"
"737","2020-07-02 15:00:00.0","25.20"
"737","2020-07-02 16:00:00.0","24.10"
"737","2020-07-02 17:00:00.0","24.10"
"737","2020-07-02 18:00:00.0","23.50"
"737","2020-07-02 19:00:00.0","20.40"
"737","2020-07-02 20:00:00.0","18.70"
"737","2020-07-02 21:00:00.0","19.30"
"737","2020-07-02 22:00:00.0","18.80"
"737","2020-07-02 23:00:00.0","18.40"
"740","2020-07-02 00:00:00.0","22.10"
"740","2020-07-02 01:00:00.0","21.90"
"740","2020-07-02 02:00:00.0","21.50"
