"ID_STAZ","DATARIL","VALORE"
"749","2020-04-01 00:00:00.0","8.80"
"749","2020-04-01 01:00:00.0","9.00"
"749","2020-04-01 02:00:00.0","9.40"
"749","2020-04-01 03:00:00.0","8.90"
"749","2020-04-01 04:00:00.0","9.40"
"749","2020-04-01 05:00:00.0","9.60"
"749","2020-04-01 06:00:00.0","9.50"
"749","2020-04-01 07:00:00.0","9.30"
"749","2020-04-01 08:00:00.0","8.30"
"749","2020-04-01 09:00:00.0","7.50"
"749","2020-04-01 10:00:00.0","9.60"
"749","2020-04-01 11:00:00.0","12.30"
"749","2020-04-01 12:00:00.0","12.90"
"749","2020-04-01 13:00:00.0","12.20"
"749","2020-04-01 14:00:00.0","13.10"
"749","2020-04-01 15:00:00.0","12.00"
"749","2020-04-01 16:00:00.0","10.90"
"749","2020-04-01 17:00:00.0","8.70"
"749","2020-04-01 18:00:00.0","6.30"
"749","2020-04-01 19:00:00.0","5.60"
"749","2020-04-01 20:00:00.0","5.30"
"749","2020-04-01 21:00:00.0","4.40"
"749","2020-04-01 22:00:00.0","3.60"
"749","2020-04-01 23:00:00.0","3.70"
"749","2020-04-02 00:00:00.0","4.20"
"749","2020-04-02 01:00:00.0","4.40"
"749","2020-04-02 02:00:00.0","4.60"
"749","2020-04-02 03:00:00.0","4.70"
"749","2020-04-02 04:00:00.0","4.80"
"749","2020-04-02 05:00:00.0","4.50"
"749","2020-04-02 06:00:00.0","4.50"
"749","2020-04-02 07:00:00.0","4.80"
"749","2020-04-02 08:00:00.0","5.30"
"749","2020-04-02 09:00:00.0","6.40"
"749","2020-04-02 10:00:00.0","6.90"
"749","2020-04-02 11:00:00.0","7.80"
"749","2020-04-02 12:00:00.0","9.80"
"749","2020-04-02 13:00:00.0","9.30"
"749","2020-04-02 14:00:00.0","8.80"
"749","2020-04-02 15:00:00.0","8.60"
"749","2020-04-02 16:00:00.0","8.10"
"749","2020-04-02 17:00:00.0","7.30"
"749","2020-04-02 18:00:00.0","6.90"
"749","2020-04-02 19:00:00.0","7.30"
"749","2020-04-02 20:00:00.0","8.00"
"749","2020-04-02 21:00:00.0","6.80"
"749","2020-04-02 22:00:00.0","6.50"
"749","2020-04-02 23:00:00.0","6.50"
"749","2020-04-03 00:00:00.0","7.00"
"749","2020-04-03 01:00:00.0","6.40"
"749","2020-04-03 02:00:00.0","6.00"
"749","2020-04-03 03:00:00.0","6.00"
"749","2020-04-03 04:00:00.0","6.10"
"749","2020-04-03 05:00:00.0","5.90"
"749","2020-04-03 06:00:00.0","6.00"
"749","2020-04-03 07:00:00.0","6.50"
"749","2020-04-03 08:00:00.0","6.80"
"749","2020-04-03 09:00:00.0","7.50"
"749","2020-04-03 10:00:00.0","7.80"
"749","2020-04-03 11:00:00.0","7.60"
"749","2020-04-03 12:00:00.0","7.50"
"749","2020-04-03 13:00:00.0","7.40"
"749","2020-04-03 14:00:00.0","7.50"
"749","2020-04-03 15:00:00.0","7.00"
"749","2020-04-03 16:00:00.0","6.60"
"749","2020-04-03 17:00:00.0","6.30"
"749","2020-04-03 18:00:00.0","6.10"
"749","2020-04-03 19:00:00.0","6.00"
"749","2020-04-03 20:00:00.0","6.20"
"749","2020-04-03 21:00:00.0","6.60"
"749","2020-04-03 22:00:00.0","6.80"
"749","2020-04-03 23:00:00.0","6.90"
"749","2020-04-04 00:00:00.0","6.70"
"749","2020-04-04 01:00:00.0","6.70"
"749","2020-04-04 02:00:00.0","6.60"
"749","2020-04-04 03:00:00.0","6.50"
"749","2020-04-04 04:00:00.0","6.40"
"749","2020-04-04 05:00:00.0","6.50"
"749","2020-04-04 06:00:00.0","6.30"
"749","2020-04-04 07:00:00.0","6.90"
"749","2020-04-04 08:00:00.0","7.30"
"749","2020-04-04 09:00:00.0","9.60"
"749","2020-04-04 10:00:00.0","11.70"
"749","2020-04-04 11:00:00.0","12.90"
"749","2020-04-04 12:00:00.0","13.30"
"749","2020-04-04 13:00:00.0","12.90"
"749","2020-04-04 14:00:00.0","13.30"
"749","2020-04-04 15:00:00.0","12.10"
"749","2020-04-04 16:00:00.0","11.80"
"749","2020-04-04 17:00:00.0","10.90"
"749","2020-04-04 18:00:00.0","6.50"
"749","2020-04-04 19:00:00.0","4.90"
"749","2020-04-04 20:00:00.0","4.40"
"749","2020-04-04 21:00:00.0","4.70"
