"ID_STAZ","DATARIL","VALORE"
"683","2020-10-01 00:00:00.0","19.00"
"683","2020-10-01 01:00:00.0","18.90"
"683","2020-10-01 02:00:00.0","19.10"
"683","2020-10-01 03:00:00.0","19.40"
"683","2020-10-01 04:00:00.0","19.50"
"683","2020-10-01 05:00:00.0","19.70"
"683","2020-10-01 06:00:00.0","20.20"
"683","2020-10-01 07:00:00.0","21.70"
"683","2020-10-01 08:00:00.0","24.30"
"683","2020-10-01 09:00:00.0","25.00"
"683","2020-10-01 10:00:00.0","25.60"
"683","2020-10-01 11:00:00.0","26.50"
"683","2020-10-01 12:00:00.0","26.60"
"683","2020-10-01 13:00:00.0","26.50"
"683","2020-10-01 14:00:00.0","26.30"
"683","2020-10-01 15:00:00.0","24.80"
"683","2020-10-01 16:00:00.0","24.00"
"683","2020-10-01 17:00:00.0","22.90"
"683","2020-10-01 18:00:00.0","21.50"
"683","2020-10-01 19:00:00.0","20.80"
"683","2020-10-01 20:00:00.0","19.70"
"683","2020-10-01 21:00:00.0","19.00"
"683","2020-10-01 22:00:00.0","18.40"
"683","2020-10-01 23:00:00.0","17.70"
"684","2020-10-01 00:00:00.0","20.10"
"684","2020-10-01 01:00:00.0","20.10"
"684","2020-10-01 02:00:00.0","20.10"
"684","2020-10-01 03:00:00.0","20.50"
"684","2020-10-01 04:00:00.0","20.80"
"684","2020-10-01 05:00:00.0","21.00"
"684","2020-10-01 06:00:00.0","21.00"
"684","2020-10-01 07:00:00.0","22.80"
"684","2020-10-01 08:00:00.0","24.30"
"684","2020-10-01 09:00:00.0","24.70"
"684","2020-10-01 10:00:00.0","25.20"
"684","2020-10-01 11:00:00.0","25.50"
"684","2020-10-01 12:00:00.0","25.60"
"684","2020-10-01 13:00:00.0","25.80"
"684","2020-10-01 14:00:00.0","25.20"
"684","2020-10-01 15:00:00.0","24.90"
"684","2020-10-01 16:00:00.0","24.40"
"684","2020-10-01 17:00:00.0","22.90"
"684","2020-10-01 18:00:00.0","22.30"
"684","2020-10-01 19:00:00.0","21.70"
